Morphotype,Taxon,Taxon Common Names,Taxon Path,Phylum,Class,Genus,Subgenus,Kingdom,Suborder,Subspecies,Subfamily,Family,Species,Order,Subclass,Superfamily
PD18,Cladorhizidae sp 5,,,Porifera,Demospongiae,Asbestopluma,,Animalia,,,,Cladorhizidae,,Poecilosclerida,Heteroscleromorpha,
PD21,Cladorhizidae sp 6,,,Porifera,Demospongiae,,,Animalia,,,,Cladorhizidae,,Poecilosclerida,Heteroscleromorpha,
PD23,Cladorhizidae sp 7,,,Porifera,Demospongiae,,,Animalia,,,,Cladorhizidae,,Poecilosclerida,Heteroscleromorpha,
PD24,Cladorhizidae sp 8,,,Porifera,Demospongiae,,,Animalia,,,,Cladorhizidae,,Poecilosclerida,Heteroscleromorpha,
CAO23,Corallidae sp 1,,,Cnidaria,Octocorallia,,,Animalia,,,,Corallidae,,Scleralcyonacea ,,
P02,Demospongiae sp 1,,,Porifera,Demospongiae,,,Animalia,,,,,,,,
PD31,Demospongiae sp 10,,,Porifera,Demospongiae,,,Animalia,,,,,,,,
PD19,Demospongiae sp 2,,,Porifera,Demospongiae,,,Animalia,,,,,,,,
PD20,Demospongiae sp 3,,,Porifera,Demospongiae,,,Animalia,,,,,,,,
PD22,Demospongiae sp 4,,,Porifera,Demospongiae,,,Animalia,,,,,,,,
PD25,Demospongiae sp 5,,,Porifera,Demospongiae,,,Animalia,,,,,,,,
PD26,Demospongiae sp 6,,,Porifera,Demospongiae,,,Animalia,,,,,,,,
PD28,Demospongiae sp 7,,,Porifera,Demospongiae,,,Animalia,,,,,,,,
PD13,Demospongiae sp 8,,,Porifera,Demospongiae,,,Animalia,,,,,,,,
PD30,Demospongiae sp 9,,,Porifera,Demospongiae,,,Animalia,,,,,,,,
PD35,Demospongiae sp 11,,,Porifera,Demospongiae,,,Animalia,,,,,,,,
CAH18,Dendrobathypathes cf boutillieri,,,Cnidaria,Hexacorallia,Dendrobathypathes,,Animalia,,,,Schizopathidae,boutillieri,Antipatharia,,
PH08,Euplectellidae sp 1,pot-belly,,Porifera,Hexactinellida,,,Animalia,,,,Euplectellidae,,Lyssacinosida,Hexasterophora,
PH18,Euplectellidae sp 2,,,Porifera,Hexactinellida,,,Animalia,,,,Euplectellidae,,Lyssacinosida,Hexasterophora,
PH26,Euplectellidae sp 3,,,Porifera,Hexactinellida,,,Animalia,,,,Euplectellidae,,Lyssacinosida,Hexasterophora,
PH48,Euplectellidae sp 4,,,Porifera,Hexactinellida,,,Animalia,,,,Euplectellidae,,Lyssacinosida,Hexasterophora,
PH28,Euretidae sp 1,,,Porifera,Hexactinellida,,,Animalia,,,,Euretidae,,Sceptrulophora,Hexasterophora,
PH31,Euretidae sp 2,,,Porifera,Hexactinellida,,,Animalia,,,,Euretidae,,Sceptrulophora,Hexasterophora,
PH10,Farrea cf occa,,,Porifera,Hexactinellida,Farrea,,Animalia,,,,Farreidae,occa,Sceptrulophora,Hexasterophora,
PH36,Farrea sp 1,,,Porifera,Hexactinellida,Farrea,,Animalia,,,,Farreidae,,Sceptrulophora,Hexasterophora,
PH03,Farrea spp ,,,Porifera,Hexactinellida,Farrea,,Animalia,,,,Farreidae,,Sceptrulophora,Hexasterophora,
PH38,Farreidae sp 1,,,Porifera,Hexactinellida,,,Animalia,,,,Farreidae,,Sceptrulophora,Hexasterophora,
PH42,Farreidae sp 2,,,Porifera,Hexactinellida,,,Animalia,,,,Farreidae,,Sceptrulophora,Hexasterophora,
PH50,Farreidae sp 3,,,Porifera,Hexactinellida,,,Animalia,,,,Farreidae,,Sceptrulophora,Hexasterophora,
CAO08,Gersemia cf fruticosa,,,Cnidaria,Octocorallia,Gersemia,,Animalia,,,,Alcyoniidae,fruticosa,Malacalcyonacea,,
CAO45,Gersemia sp 1,,,Cnidaria,Octocorallia,Gersemia,,Animalia,,,,Alcyoniidae,,Malacalcyonacea,,
CAO20,Gersemia sp A,,,Cnidaria,Octocorallia,Gersemia,,Animalia,,,,Alcyoniidae,A,Malacalcyonacea,,
CAO03,Hemicorallium sp 1,,,Cnidaria,Octocorallia,Hemicorallium,,Animalia,,,,Corallidae,,Scleralcyonacea ,,
PH27,Hertwigia sp 1,,,Porifera,Hexactinellida,Hertwigia,,Animalia,,,Corbitellinae,Euplectellidae,,Lyssacinosida,Hexasterophora,
PH12,Heterochone calyx,,,Porifera,Hexactinellida,Heterochone,,Animalia,,,,Aphrocallistidae,calyx,Sceptrulophora,Hexasterophora,
CAH12,Heteropathes sp 1,,,Cnidaria,Hexacorallia,Heteropathes,,Animalia,,,Hexapathinae ,Cladopathidae,,Antipatharia,,
CAO27,Heteropolypus ritteri,,,Cnidaria,Octocorallia,Heteropolypus,,Animalia,,,Anthomastinae,Corallidae,ritteri,Scleralcyonacea ,,
CAO37,Heteropolypus sp 1,,,Cnidaria,Octocorallia,Heteropolypus,,Animalia,,,Anthomastinae,Corallidae,,Scleralcyonacea ,,
